customer_id,region,income,debt,loan_amount,loan_purpose,township_flag,load_shedding_hours,transaction_frequency,support_tickets,days_since_last_contact,churned,income_missing,township_flag_missing
CUST_013992,Cape Town,4901.292908281202,2103.83917163583,2262.9409928687005,home_improvement,1.0,7.0,9.0,0.0,104.0,1.0,0,0
CUST_001426,Pretoria,21558.6952744027,10098.703556069662,12138.663414758325,car,0.0,1.0,9.0,0.0,55.0,0.0,0,0
CUST_014506,Cape Town,13450.0,5183.79575086285,9050.804241388374,car,0.0,3.0,3.0,0.0,53.0,0.0,0,0
CUST_007271,Johannesburg,22035.84806822667,7377.281800523165,10085.530053622442,debt_consolidation,1.0,4.0,5.0,3.0,1.0,0.0,0,0
CUST_006659,Johannesburg,14831.862514827268,6067.4077495056,6615.690632326498,debt_consolidation,1.0,5.0,15.0,0.0,160.0,1.0,0,0
CUST_004001,Cape Town,12395.0,4147.372648374638,8598.751159253568,debt_consolidation,0.0,3.0,6.0,0.0,8.0,1.0,0,0
CUST_010646,Johannesburg,,,,debt_consolidation,1.0,4.0,11.0,0.0,22.0,0.0,1,0
CUST_006818,Pretoria,39523.0,11961.985333638471,20621.40356679291,car,0.0,7.0,4.0,0.0,141.0,1.0,0,0
CUST_005673,Durban,10108.11639309809,6557.761634214281,3838.584817250132,debt_consolidation,0.0,4.0,10.0,0.0,42.0,0.0,0,0
CUST_010704,Pretoria,5380.836566779023,1678.958202331031,3351.209792618464,car,0.0,8.0,11.0,0.0,63.0,0.0,0,0
CUST_004102,Cape Town,39905.29663217208,0.0,20133.64621646233,other,0.0,3.0,8.0,2.0,39.0,0.0,0,0
CUST_012149,Johannesburg,13023.537278031014,4833.121560987758,2846.036266588611,business,1.0,4.0,12.0,0.0,35.0,0.0,0,0
CUST_013675,Pretoria,,,,home_improvement,1.0,7.0,12.0,0.0,10.0,0.0,1,0
CUST_003352,Cape Town,,,,debt consolidation,1.0,7.0,10.0,0.0,82.0,0.0,1,0
CUST_007832,Cape Town,11478.956630527591,4977.798333172192,4460.936911160755,other,0.0,4.0,13.0,1.0,133.0,0.0,0,0
CUST_013994,Cape Town,7981.814001870629,1489.801056638384,3990.676007920932,car,0.0,2.0,9.0,2.0,48.0,0.0,0,0
CUST_008111,Cape Town,2954.331116861523,1012.9595298777482,1994.345998838137,car,0.0,8.0,4.0,0.0,28.0,0.0,0,0
CUST_011510,Johannesburg,31985.75810932497,18942.94426832711,18355.959295360622,consolidation,0.0,1.0,4.0,0.0,173.0,0.0,0,0
CUST_002706_DUP,Gqeberha,,,,business,1.0,7.0,15.0,0.0,16.0,0.0,1,0
CUST_009812_DUP,Gqeberha,21304.198408679844,4187.896852129577,11131.988185750488,car,0.0,5.0,6.0,2.0,48.0,0.0,0,0
CUST_014630,Johannesburg,7179.581733193279,1518.958966997962,7163.777520131263,debt_consolidation,1.0,4.0,10.0,0.0,107.0,0.0,0,0
